status,product_area,response,justification,request_type
replied,plans,"I understand you've lost access to your Claude team workspace and need it restored. Unfortunately, seat management — including restoring access to an unassigned member — is an admin-level action that cannot be performed by non-admin users. Only your workspace owner or IT admin can restore your access. Here's what they need to do: 1. Go to Organization settings > Organization. Find your name in the member list. Click the dropdown under Seat Type. Select ""Enterprise seat"" (or the appropriate seat type for your plan). As noted in the documentation, ""Unassigned members remain part of your organization but cannot use Claude until they're assigned to a seat."" This means your account still exists in the organization — you just need a seat reassigned to you. What you should do now: 1. Contact your IT admin or workspace owner directly and ask them to reassign you to a seat using the steps above. If you're unsure who your admin is or cannot reach them, you'll need to escalate through your internal company channels (such as your IT helpdesk) to get the seat restored. I'm unable to restore your access directly, as seat assignments must be managed by someone with admin privileges on your organization's workspace. For account-specific actions like this, you'll need to work with your admin team or contact human support if your organization is unresponsive. Sources: Purchase and manage seats on Enterprise plans / Temporarily remove a member's access",Grounded response for Claude/plans (product_issue); confidence=0.87; sources=claude\team-and-enterprise-plans\admin-management\13393991-purchase-and-manage-seats-on-enterprise-plans.md#Temporarily remove a member's access; claude\team-and-enterprise-plans\admin-management\13393991-purchase-and-manage-seats-on-enterprise-plans.md#Information for Chat and Chat + Claude Code plans; claude\connectors\pre-built-connectors\10166901-use-google-workspace-connectors.md#Cataloging data retention.,product_issue
escalated,screen,"We understand your concern about your assessment results. However, we cannot modify scores or override hiring decisions. Please contact the recruiting company directly for any disputes regarding your assessment.","Escalated: score modification request that cannot be fulfilled. Company=HackerRank, area=screen, gate=hard_rule, confidence=1.00.",product_issue
replied,dispute,"Thank you for contacting Visa support.

I found guidance in Visa Credit Card Rules & Regulations. Use this online form to report a problem you had when trying to use your Visa card. Report a purchase issue

If this does not match your exact case, a human support agent can review the ticket and route it correctly.

Sources: Visa Credit Card Rules & Regulations / Report an in-store purchase issue; Visa Consumer Support / I have concerns about a place where I used my Visa card. What should I do?; Visa Consumer Support / Can a merchant set a maximum or minimum limit for using my Visa card?",Grounded response for Visa/dispute (product_issue); confidence=0.46; sources=visa\support\consumer\visa-rules.md#Report an in-store purchase issue; visa\support.md#I have concerns about a place where I used my Visa card. What should I do?; visa\support.md#Can a merchant set a maximum or minimum limit for using my Visa card?.,product_issue
replied,community,"Please contact help@hackerrank.com to request a refund for your mock interview that stopped in the middle. The support team will promptly review your request. Note: The provided documentation does not fully cover refunds for

Sources: Purchase Mock Interview Credits / Refund policy; Subscriptions, Payments, and Billing FAQs Mock interviews Subscription plans / Mock interviews; Behavioural Mock Interview Prerequisites Taking Behavioural mock interview Ending an interview Feedback report Viewing previous attempts / Taking Behavioural mock interview",Grounded response for HackerRank/community (bug); confidence=0.74; sources=hackerrank\hackerrank_community\subscriptions-payments-and-billing\3282259518-purchase-mock-interviews.md#Refund policy; hackerrank\hackerrank_community\subscriptions-payments-and-billing\9157064719-payments-and-billing-faqs.md#Mock interviews; hackerrank\hackerrank_community\mock-interviews\5174727491-behavioural-mock-interview.md#Taking Behavioural mock interview.,bug
escalated,general,I could not find enough trusted support documentation to answer this safely. A human agent will review and route this case.,"Escalated: insufficient documentation to provide a grounded answer. Company=HackerRank, area=general, gate=confidence_gate, confidence=0.00.",product_issue
replied,general,"The provided documentation does not include information about the information security (infosec) process or forms for onboarding HackerRank for hiring. For assistance with the infosec process, you will need to contact a human support agent who can review your request and provide the necessary forms and guidance. Note: The documentation does not fully cover this case. A human support agent should review. Sources: Onboarding Candidates / Preparation Checklist, Onboarding Candidates / Onboarding Candidates, Using HackerRank Interviews in InterviewPlanner / Using HackerRank Interviews in InterviewPlanner, Partner Guide to building an integration with HackerRank / Background",Grounded response for HackerRank/general (product_issue); confidence=0.89; sources=hackerrank\uncategorized\9695299159-onboarding-candidates.md#Preparation Checklist; hackerrank\uncategorized\9695299159-onboarding-candidates.md#Onboarding Candidates; hackerrank\integrations\scheduling\3675175160-using-hackerrank-interviews-in-interviewplanner.md#Using HackerRank Interviews in InterviewPlanner.,product_issue
escalated,community,I could not find enough trusted support documentation to answer this safely. A human agent will review and route this case.,"Escalated: insufficient documentation to provide a grounded answer. Company=HackerRank, area=community, gate=confidence_gate, confidence=0.00.",bug
escalated,screen,We are aware of the issue and our engineering team has been notified. A human agent will follow up with you shortly.,"Escalated: reported platform-wide service disruption. Company=HackerRank, area=screen, gate=hard_rule, confidence=1.00.",product_issue
escalated,screen,I could not find enough trusted support documentation to answer this safely. A human agent will review and route this case.,"Escalated: insufficient documentation to provide a grounded answer. Company=HackerRank, area=screen, gate=confidence_gate, confidence=0.10.",bug
replied,screen,"Rescheduling a HackerRank assessment is possible. When an interview is rescheduled, HackerRank automatically sends email notifications to the candidate and interviewers with the updated time. To request a reschedule, you need to contact your recruiter or the HR contact from ""Company Name"" who sent the original assessment invite. They will initiate the rescheduling process through their HackerRank dashboard. The documentation does not specify a self-service option for candidates to reschedule assessments directly. The process is managed by the recruiter or administrator who has access to the interview scheduling features in HackerRank. If the rescheduling is due to a system-wide maintenance window, the recruiter should ensure no activities are scheduled during that time and reschedule outside the maintenance window to prevent disruption. Sources: Reschedule an Interview Prerequisites Rescheduling an Interview",Grounded response for HackerRank/screen (product_issue); confidence=0.50; sources=hackerrank\interviews\manage-interviews\2342466364-rescheduling-an-interview.md#Reschedule an Interview Prerequisites Rescheduling an Interview; hackerrank\general-help\important-notifications\2086891729-hackerrank-maintenance-window-notification.md#Required actions; hackerrank\integrations\applicant-tracking-systems\workday\1999755553-workday---hackerrank-tests-user-guide.md#Send HackerRank Test Invites to Candidates from Workday.,product_issue
